function	header	classification	citation
kl_http_response_init	http_response.h	unreviewed	-
kl_http_response_json	http_response.h	unreviewed	-
kl_http_response_reset	http_response.h	unreviewed	-
kl_http_response_send	http_response.h	unreviewed	-
kl_http_response_status	http_response.h	unreviewed	-
kl_http_router_add	http_router.h	unreviewed	-
kl_http_router_add_streaming	http_router.h	unreviewed	-
kl_http_router_add_streaming_async	http_router.h	unreviewed	-
kl_http_router_dispatch_synthetic	http_router.h	unreviewed	-
kl_http_router_free	http_router.h	unreviewed	-
kl_http_router_init	http_router.h	unreviewed	-
kl_http_router_match	http_router.h	unreviewed	-
kl_http_router_run_middleware	http_router.h	unreviewed	-
kl_http_router_run_post_middleware	http_router.h	unreviewed	-
kl_http_router_use	http_router.h	unreviewed	-
kl_http_router_use_post	http_router.h	unreviewed	-
kl_http_server_free	http_server.h	unreviewed	-
kl_http_server_init	http_server.h	unreviewed	-
kl_http_server_route	http_server.h	unreviewed	-
kl_http_server_route_streaming	http_server.h	unreviewed	-
kl_http_server_route_streaming_async	http_server.h	unreviewed	-
kl_http_server_run	http_server.h	unreviewed	-
kl_http_server_stats	http_server.h	unreviewed	-
kl_http_server_stop	http_server.h	unreviewed	-
kl_http_server_use	http_server.h	unreviewed	-
kl_http_server_use_post	http_server.h	unreviewed	-
kl_http_server_ws_upgrade	http_server.h	unreviewed	-
kl_http_sse_begin	http_sse.h	unreviewed	-
kl_http_sse_comment	http_sse.h	unreviewed	-
kl_http_sse_end	http_sse.h	unreviewed	-
kl_http_sse_event	http_sse.h	unreviewed	-
kl_listener_close	listener.h	unreviewed	-
kl_listener_init	listener.h	unreviewed	-
kl_listener_is_detached	listener.h	unreviewed	-
kl_listener_notify_slot_free	listener.h	unreviewed	-
kl_listener_on_accept_failed	listener.h	unreviewed	-
kl_listener_on_accepted	listener.h	unreviewed	-
kl_listener_set_accept_window	listener.h	unreviewed	-
kl_listener_start	listener.h	unreviewed	-
kl_listener_state	listener.h	unreviewed	-
kl_malloc	allocator.h	unreviewed	-
kl_monotonic_ms	clock.h	unreviewed	-
kl_peer_cred_fd	http_server.h	unreviewed	-
kl_platform_caps	http_server.h	unreviewed	-
kl_proxy_parse	proxy_protocol.h	unreviewed	-
kl_realloc	allocator.h	unreviewed	-
kl_req_memeq	http_request.h	unreviewed	-
kl_req_strlen	http_request.h	unreviewed	-
kl_resolver_cache_clear	resolver_cache.h	unreviewed	-
kl_resolver_cache_count	resolver_cache.h	unreviewed	-
kl_resolver_cache_create	resolver_cache.h	unreviewed	-
kl_slot_lease_release	listener.h	unreviewed	-
kl_sock_errno_to_error	socket.h	unreviewed	-
kl_sock_native_fd	socket.h	unreviewed	-
kl_sockaddr_equal	sockaddr.h	unreviewed	-
kl_sockaddr_equal_addr	sockaddr.h	unreviewed	-
kl_sockaddr_family	sockaddr.h	unreviewed	-
kl_sockaddr_format	sockaddr.h	unreviewed	-
kl_sockaddr_format_ip	sockaddr.h	unreviewed	-
kl_sockaddr_from_ipv4	sockaddr.h	unreviewed	-
kl_sockaddr_from_ipv6	sockaddr.h	unreviewed	-
kl_sockaddr_from_unix	sockaddr.h	unreviewed	-
kl_sockaddr_is_loopback	sockaddr.h	unreviewed	-
kl_sockaddr_is_multicast	sockaddr.h	unreviewed	-
